TransactionID,TransactionList
1,"Sedan,Coupe,Wagon,Convertibles,SUV"
2,"Hybrid,Convertibles,SUV"
3,"SUV,Minivans,Trucks,Convertibles"
4,"Luxary,Convertibles,SUV"
5,"Sports,Hybrid,Coupe,Sedan,Convertibles,SUV"
6,"Wagon,SUV,Trucks,Convertibles"
7,"Sedan,Coupe,SUV"
8,"Sedan,Convertibles,SUV"
9,"SUV,Sedan,Hybrid,Luxary,Convertibles"
10,"Trucks,Minivans,SUV"
11,"SUV,Sedan,Convertibles"
12,"Luxary,Convertibles,Sports,SUV"
13,"Sports,Sedan,SUV"
14,"SUV,Convertibles"
15,"Sedan,Sports,Convertibles,SUV"
16,"SUV,Coupe,Luxary,Convertibles"
17,"Sedan,Wagon,Trucks,Convertibles,SUV"
18,"Sedan,SUV,Convertibles"
19,"SUV,Convertibles,Sports"
20,"Sports,Convertibles"
