TransactionID,TransactionList
1,"Assasins_Creed,Mario,Counter_Strike"
2,"Dota2,Counter_Strike"
3,"Counter_Strike,NFS,FIFA,Assasins_Creed,Dota2"
4,"Halo,Dota2"
5,"FIFA,Skyrim,Dota2,Assasins_Creed"
6,"PUBG,Counter_Strike,Skyrim,Dota2"
7,"Dota2,PUBG,Counter_Strike,NFS"
8,"Skyrim,Assasins_Creed,Dota2,Counter_Strike"
9,"NFS,Skyrim"
10,"Counter_Strike,Dota2,Mario"
11,"Counter_Strike,PUBG,Mario,Dota2"
12,"NFS,FIFA,Dota2"
13,"Counter_Strike,Dota2,Halo"
14,"Counter_Strike,Dota2"
15,"Halo,Mario,Counter_Strike"
16,"Skyrim,PUBG,Counter_Strike"
17,"FIFA,NFS,Counter_Strike"
18,"Counter_Strike,NFS"
19,"Mario,Dota2,Counter_Strike"
20,"Dota2,Counter_Strike"
