TransactionID,TransactionList
1,"Running_Shoe,Socks,Sweatshirts,Modern_Pants"
2,"Running_Shoe,Socks,Sweatshirts"
3,"Running_Shoe,Socks,Sweatshirts,Modern_Pants"
4,"Running_Shoe,Sweatshirts,Modern_Pants"
5,"Running_Shoe,Socks,Sweatshirts,Modern_Pants,Soccer_Shoe"
6,"Running_Shoe,Socks,Sweatshirts"
7,"Running_Shoe,Socks,Sweatshirts,Modern_Pants,Tech_Pants,Rash_Guard,Hoodies"
8,"Swimming_Shirt,Socks,Sweatshirts"
9,"Swimming_Shirt,Rash_Guard,Dry_FitV-Nick,Hoodies,Tech_Pants"
10,"Swimming_Shirt,Rash_Guard,Dry"
11,"Swimming_Shirt,Rash_Guard,Dry_FitV-Nick"
12,"Running_Shoe,Swimming_Shirt,Socks,Sweatshirts,Modern_Pants,Soccer_Shoe,Rash_Guard,Hoodies,Tech_Pants,Dry_FitV-Nick"
13,"Running_Shoe,Swimming_Shirt,Socks,Sweatshirts,Modern_Pants,Soccer_Shoe,Rash_Guard,Tech_Pants,Dry_FitV-Nick,Hoodies"
14,"Running_Shoe,Swimming_Shirt,Rash_Guard,Tech_Pants,Hoodies,Dry_FitV-Nick"
15,"RunningShoe,Swimming_Shirt,Socks,Sweatshirts,Modern_Pants,Dry_FitV-Nick,Rash_Guard,Tech_Pants"
16,"Swimming_Shirt,Soccer_Shoe,Hoodies,Dry_FitV-Nick,Tech_Pants,Rash_Guard"
17,"Running_Shoe,Socks"
18,"Socks,Sweatshirts,Modern_Pants,Soccer_Shoe,Hoodies,Rash_Guard,Tech_Pants,Dry_FitV-Nick"
19,"Running_Shoe,Swimming_Shirt,Rash_Guard"
20,"Running_Shoe,Swimming_Shirt,Socks,Sweatshirts,Modern_Pants,Soccer_Shoe,Hoodies,Tech_Pants,Rash_Guard,Dry_FitV-Nick"
